Borsa Kodu,Şirket Ünvanı,Borsada İşlem Görme Tarihi,Halka Arz Oranı (%),Halka Arz Fiyatı (TL),Halka Arza Aracılık Eden Kurum,Sektör,Yeni Sermaye (Bin TL),market_cap,BIST100_SMA200_pct,BIST100_above_SMA200,tavan_days,return_1m,return_3m,return_6m,return_12m,return_24m,return_60m,return_1m_usd,return_3m_usd,return_6m_usd,return_12m_usd,return_24m_usd,return_60m_usd,usdtry_at_listing,market_cap_usd
HLGYO,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,2013-02-22,28.0,1.35,Halk Yatırım Menkul Değerer A.Ş.,GAYRİMENKUL YATIRIM ORTAKLIKLARI,662500.0,894375000.0000001,0.09882226945306748,True,0.0,0.0,-0.06870363366984192,-0.13842836104449655,-0.09961870269933573,0.10167886491753389,-0.12130468635293803,-0.008287648914847642,-0.08890624705373859,-0.2158349423985353,-0.25462086187854704,-0.19048058443326746,-0.5823934611514444,1.7925699949264526,498934492.11543643
SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,2013-04-24,25.0,2.73,Bizim Menkul Değerler A.Ş.,GAYRİMENKUL YATIRIM ORTAKLIKLARI,52000.0,141960000.0,0.14216961785706225,True,0.0,0.0,0.0,0.12068965695256655,-0.10344823313840293,0.03440303625986375,0.5094643583387961,0.0,0.0,0.09092617101364867,-0.1991600567410369,-0.2648428266680434,-0.2939541459875352,1.8022099733352661,78769955.83221707
PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,2013-04-26,35.0,18.4,İş Yatırım Menkul Değerler A.Ş.,ULAŞTIRMA VE DEPOLAMA,102272.0,1881804799.9999998,0.1432276938999864,True,1.0,0.5306666050148185,0.4613330111527075,1.0373331772149437,0.4560000019887693,0.4560000019887693,0.5679997822297621,0.44038756865832357,0.36771415737767804,0.8489029601382906,0.22623478727999632,-0.03727632765996174,-0.30908653129446484,1.7982699871063232,1046452876.0934814
ROYAL,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.,2013-05-03,28.75,4.45,Ak Yatırım Menkul Değerler A.Ş.,"TEKSTİL, GİYİM EŞYASI VE DERİ",60000.0,267000000.0,0.1888610234434992,True,0.0,-0.07865161645340583,-0.12359536773827233,-0.1370786241094522,-0.14831457916563198,-0.3649888131301189,-0.748435410045281,-0.12395265698079037,-0.18416899448517912,-0.23223893334949466,-0.2741747505158045,-0.580048244485782,-0.8921591976265025,1.7930500507354736,148908280.5527274
ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,2013-05-21,28.57,5.0,Bizim Menkul Değerler A.Ş.,ELEKTRİK GAZ VE BUHAR,42000.0,210000000.0,0.190355316527269,True,0.0,-0.02976243838448582,-0.11706307986401328,-0.0753965250344145,0.01984061160024171,0.8511908500458174,1.7117355735103257,-0.0789524210748181,-0.16582855739944638,-0.15535808010119379,-0.11112349607642077,0.32143505442904025,0.11071418055448073,1.8404099941253662,114105009.5741303
PAGYO,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,2013-05-23,25.0,4.7,Deniz Yatırım Menkul Kıymetler A.Ş.,GAYRİMENKUL YATIRIM ORTAKLIKLARI,87000.0,408900000.0,0.18815174428435075,True,0.0,-0.0769228016046286,-0.0769228016046286,-0.13247863951454839,-0.09488399900442647,0.12645537668048668,0.5869290386136932,-0.11921321100942459,-0.14215983251570144,-0.20142445406326492,-0.19642948562334112,-0.19927306439590242,-0.3806535506546727,1.8477799892425537,221292579.40909797
AKPAZ,AKYÜREK TÜKETİM ÜRÜNLERİ PAZARLAMA DAĞITIM VE TİCARET A.Ş.,2013-06-07,35.8,2.6,"Bizim Menkul Değerler A.Ş., Vakıf menkul Değerler",TOPTAN VE PERAKENDE TİCARET,46086.74,119825524.0,0.005236502166912493,True,,,,,,,,,,,,,,1.8922100067138672,63325700.4110747
VERUS,VERUSA HOLDİNG A.Ş.,2013-11-19,35.0,11.3,Eti Yatırım A.Ş.,HOLDİNGLER VE YATIRIM ŞİRKETLERİ,20000.0,226000000.0,-0.04932053061858578,False,0.0,-0.051094859955348085,0.021897960219200326,-0.023939516947432515,0.1896888319464177,2.216644256139639,2.836268012989649,-0.06724007261352086,-0.05171804640089349,-0.05937037267340509,0.08247197739514305,1.2719807812067156,0.45203502088699477,2.0203299522399902,111862916.12883735
SANEL,SAN EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,2013-12-02,28.7,3.98,Piramit Menkul Kıymetler A.Ş.,İNŞAAT VE BAYINDIRLIK İŞLERİ,11500.0,45770000.0,-0.042925693060347894,False,0.0,-0.08549201185821416,0.015544324445950657,0.6710481140868418,0.46285201372830137,-0.31066845979373425,-0.24931098697287055,-0.13980264812658888,-0.07965274974769561,0.6100491961358286,0.33428317481595043,-0.5181485905466707,-0.7079908949629101,2.018929958343506,22670424.90050196
ARBUL,ARBUL ENTEGRE TEKSTİL İŞLETMELERİ A.Ş.,2014-04-28,37.04,2.0,A1 Capital Menkul Değerler A.Ş.,"TEKSTİL, GİYİM EŞYASI VE DERİ",27000.0,54000000.0,0.024708508517038152,True,,,,,,,,,,,,,,2.1352200508117676,25290133.43588184
