Dönem,Borsa Kodu,Şirket Ünvanı,Halka Arz Şekli,Halka Arz Oranı (%),Halka Arz Fiyatı (TL),Ortak Satış Tutarı (Bin TL),Nakit Sermaye Artırım Tutarı (Bin TL),Satışa Hazır Bekletilen Pay Tutarı (Bin TL),Satışa Sunulan Nominal Toplam Tutar (Bin TL),Mevcut Sermaye (Bin TL),Yeni Sermaye (Bin TL),Satışa Sunulan Toplam Tutar (Piyasa Değeri Bin TL),Satışa Sunulan Toplam Tutar (Piyasa Değeri Bin ABD Doları),İlk İşlem Gördüğü Pazar,Halka Arza Aracılık Eden Kurum,Borsada İşlem Görme Tarihi,Sektör
2013 / 2,HLGYO,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Sermaye Artırımı,28.0,1.35,0.0,185500.0,185500.0,185500.0,477000.0,662500.0,250425.0,103423.28,Kurumsal Ürünler Pazarı,Halk Yatırım Menkul Değerer A.Ş.,2013-02-22,GAYRİMENKUL YATIRIM ORTAKLIKLARI
2013 / 4,SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Sermaye Artırımı ve Ortak Satışı,25.0,2.73,11000.0,2000.0,13000.0,13000.0,50000.0,52000.0,35490.0,7195.84,Kurumsal Ürünler Pazarı,Bizim Menkul Değerler A.Ş.,2013-04-24,GAYRİMENKUL YATIRIM ORTAKLIKLARI
2013 / 4,PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,Sermaye Artırımı ve Ortak Satışı,35.0,18.4,8022.0,27272.0,35294.0,35294.0,75000.0,102272.0,649409.6,19568.64,Ulusal Pazar,İş Yatırım Menkul Değerler A.Ş.,2013-04-26,ULAŞTIRMA VE DEPOLAMA
2013 / 5,ROYAL,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.,Sermaye Artırımı ve Ortak Satışı,28.75,4.45,7250.0,10000.0,17250.0,17250.0,50000.0,60000.0,76762.5,9597.2,Ulusal Pazar,Ak Yatırım Menkul Değerler A.Ş.,2013-05-03,"TEKSTİL, GİYİM EŞYASI VE DERİ"
2013 / 5,ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,Sermaye Artırımı,28.57,5.0,0.0,12000.0,12000.0,12000.0,30000.0,42000.0,60000.0,6483.68,İkinci Ulusal Pazar,Bizim Menkul Değerler A.Ş.,2013-05-21,ELEKTRİK GAZ VE BUHAR
2013 / 5,PAGYO,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Ortak Satışı,25.0,4.7,21750.0,0.0,21750.0,21750.0,87000.0,87000.0,102225.0,11734.56,Kurumsal Ürünler Pazarı,Deniz Yatırım Menkul Kıymetler A.Ş.,2013-05-23,GAYRİMENKUL YATIRIM ORTAKLIKLARI
2013 / 6,AKPAZ,AKYÜREK TÜKETİM ÜRÜNLERİ PAZARLAMA DAĞITIM VE TİCARET A.Ş.,Sermaye Artırımı ve Ortak Satışı,35.8,2.6,3000.0,13500.0,16500.0,16500.0,32586.74,46086.74,42900.0,8732.01,Ulusal Pazar,"Bizim Menkul Değerler A.Ş., Vakıf menkul Değerler",2013-06-07,TOPTAN VE PERAKENDE TİCARET
2013 / 11,VERUS,VERUSA HOLDİNG A.Ş.,Sermaye Artırımı ve Ortak Satışı,35.0,11.3,2000.0,5000.0,7000.0,7000.0,15000.0,20000.0,79100.0,3464.32,İkinci Ulusal Pazar,Eti Yatırım A.Ş.,2013-11-19,HOLDİNGLER VE YATIRIM ŞİRKETLERİ
2013 / 12,SANEL,SAN EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,Sermaye Artırımı ve Ortak Satışı,28.7,3.98,300.0,3000.0,3300.0,3300.0,8500.0,11500.0,13134.0,1624.1,İkinci Ulusal Pazar,Piramit Menkul Kıymetler A.Ş.,2013-12-02,İNŞAAT VE BAYINDIRLIK İŞLERİ
2014 / 4,ARBUL,ARBUL ENTEGRE TEKSTİL İŞLETMELERİ A.Ş.,Sermaye Artırımı ve Ortak Satışı,37.04,2.0,3000.0,7000.0,10000.0,10000.0,20000.0,27000.0,20000.0,4683.62,İkinci Ulusal Pazar,A1 Capital Menkul Değerler A.Ş.,2014-04-28,"TEKSTİL, GİYİM EŞYASI VE DERİ"
