Şirket Adı,"İzahname Onay
Kurul Karar Tarihi","Halka Arz Tarihi
",Borsada İşlem Görme Tarihi,Halka Arza Aracılık Eden Yetkili Kuruluş,İşlem Gördüğü Pazar,Toplanan Fon Miktarı (TL)*,Toplanan Fon Miktarı (USD),Mevcut Sermaye (TL),Halka Arz Sonrası Sermaye (TL),Halka Arz Edilen Pay (Nominal TL),Nominal Sermaye Artış Tutarı (TL),Nominal Ortak Satış Tutarı (TL),Halka Arz Fiyatı (TL),Talep Edilen Pay (Nominal TL),Talebin Halka Arza Oranı,Dağıtımı Yapılan Yatırımcı Sayısı,Satış Yöntemi**
ARD Grup Bilişim Teknolojileri A.Ş.,2020-01-16,29-30/01/2020,2020-02-06,Metro Yatırım Menkul Değerler A.Ş.,Ana Pazar,39750000.0,6649047.38805346,18000000.0,22000000.0,7500000.0,4000000.0,3500000.0,5.3,127500000.0,17.0,18055.0,Borsa'da sabit fiyatla talep toplama
Bayrak EBT Taban Sanayi ve Ticaret  A.Ş.,2020-05-21,28-29/05/2020,2020-06-04,Metro Yatırım Menkul Değerler A.Ş.,Ana Pazar,30340000.0,4452728.286712261,16000000.0,21250000.0,9250000.0,5250000.0,4000000.0,3.28,129500000.0,14.0,26686.0,Borsa'da sabit fiyatla talep toplama
Fade Gıda Yatırım Sanayi Ticaret A.Ş.,2020-07-23,29-30/07/2020,2020-08-06,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,43200000.0,6227296.315516347,55000000.0,66000000.0,18000000.0,11000000.0,7000000.0,2.4,216000000.0,12.0,83917.0,Borsa'da sabit fiyatla talep toplama
Dinamik Isı Makina Yalıtım Malzemeleri Sanayi ve Ticaret A.Ş.,2020-08-20,27-28/08/2020,2020-09-03,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,30624000.0,4192197.125256674,16000000.0,24700000.0,8700000.0,8700000.0,0.0,3.52,234900000.0,27.0,175917.0,Borsa'da sabit fiyatla talep toplama
Esenboğa Elektrik Üretim A.Ş. ,2020-09-24,01-02/10/2020,2020-10-09,Metro Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,204000000.0,26394783.148742367,40000000.0,64000000.0,24000000.0,24000000.0,0.0,8.5,156000000.0,6.5,249452.0,Borsa'da sabit fiyatla talep toplama
Kontrolmatik Teknoloji Enerji ve Mühendislik A.Ş.,2020-09-24,12-13/10/2020,2020-10-19,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,50025000.0,6350123.130823326,30000000.0,36250000.0,7250000.0,6250000.0,1000000.0,6.9,190675000.0,26.3,18317.0,Sabit Fiyatla Talep Toplama
Kervan Gıda Sanayi ve Ticaret A.Ş.,2020-11-19,26-27/11/2020 ,2020-12-04,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,465750000.0,59691641.2477892,150000000.0,187500000.0,51750000.0,37500000.0,14250000.0,9.0,875183534.0,16.91175911111111,251372.0,Fiyat Aralığı İle Talep Toplama
Arzum Elektrikli Ev Aletleri Sanayi ve Ticaret A.Ş.,2020-12-10,17-18/12/2020,2020-12-24,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,260141582.0,33829434.055502094,32210000.0,32210000.0,15302446.0,0.0,15302446.0,17.0,662267333.0,43.2785276942,207206.0,Fiyat Aralığı İle Talep Toplama
Işık Plastik Sanayi ve Dış Ticaret Pazarlama A.Ş.,2021-01-14,21-22/01/2021,2021-01-28,Garanti Yatırım Menkul Değerler A.Ş.,Ana Pazar,181709317.3,24560291.586132325,43741000.0,51802638.0,11286293.0,8061638.0,3224655.0,16.1,160411855.0,14.21297985086866,401153.0,Borsa'da sabit fiyatla talep toplama
Turk İlaç ve Serum Sanayi A.Ş.,2021-02-18,25-26/02/2021,2021-03-05,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,234500000.0,31814728.387691975,67000000.0,77050000.0,23450000.0,10050000.0,13400000.0,10.0,1451243670.0,61.886723667377396,122924.0,Sabit Fiyatla Talep Toplama
Naturelgaz Sanayi ve Ticaret A.Ş.,2021-03-18,25-26/03/2021,2021-04-01,Vakıf Yatırım Menkul Değerler A.Ş. ,Yıldız Pazar,293250000.0,36705343.39679321,100018594.0,115000000.0,34500000.0,14981406.0,19518594.0,8.5,1867996466.0,54.14482510144928,268570.0,Sabit Fiyatla Talep Toplama
